,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
66,67,8/15/1943,MTO,USA,B25,,,,,ITALY,AGATA,38.08,14.63,95.0,,,,2.0,,,,,,,,,,2.0
81,82,8/15/1943,MTO,USA,B25,,,,,ITALY,SIBARI,39.78,16.47,70.0,,,,18.0,,,,,,,,,,18.0
95,96,8/16/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,VILLA SAN GIOVANNI,38.2,15.65,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
125,126,7/29/1944,CBI,USA,B29,,,,,CHINA,TAKU,39.0,117.7,170.0,116.0,500 LB GP (GP-M43/M64),,29.0,,,,,,,,,,29.0
147,148,7/29/1944,PTO,USA,B25,,,,,NEW GUINEA,CAPE KARAKRA,-2.366666666,132.6666667,,20.0,100 LB GP (GP-M30),,1.0,,,,,,,,,,1.0
166,167,7/29/1944,PTO,USA,P39,,,,,NEW GUINEA,YARABOS,-3.5333333330000003,143.55,,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
250,251,2/16/1945,ETO,USA,B24,,,,,GERMANY,47 00 N 017 00 E,47.0,17.0,,,,,2.0,,,,,,,,,,2.0
270,271,2/16/1945,ETO,USA,B24,,,,,GERMANY,49 20 N 011 40 E,49.33,11.67,,,,,2.0,,,,,,,,,,2.0
274,275,2/16/1945,ETO,USA,B26,,,,,GERMANY,50 40 N 009 20 E,50.67,9.33,,,,,,,,,30.0,,,,,,30.0
303,304,2/19/1943,PTO,USA,B24,,,,,CAROLINE ISLANDS,2 00 N 149 4,2.0,149.66666669999998,75.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
645,646,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LA SPEZIA,44.1,9.83,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
646,647,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LAMEZIA,38.92,16.25,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
868,869,2/16/1945,ETO,,B26,,,,,GERMANY,ZELTINGEN,49.95,7.03,117.0,,,,1.0,,,,,,,,,,1.0
880,881,2/16/1945,ETO,,B24,,,,,GERMANY,EMSDETTEN,52.2,7.53,,,,,23.0,,,,,,,,,,23.0
888,889,2/16/1945,ETO,,B26,,,,,GERMANY,LESSENICH,50.6,6.73,,,,,2.0,,,,,,,,,,2.0
890,891,2/16/1945,ETO,,A26,,,,,GERMANY,LEUZBACH,50.68,7.63,,,,,1.0,,,,,,,,,,1.0
893,894,2/16/1945,ETO,,B26,,,,,GERMANY,REES,51.73,6.4,,,,,30.0,,,,,,,,,,30.0
939,940,8/17/1943,ETO,,B26,,,,,FRANCE,BRYAS,50.4,2.38,110.0,,,,29.0,,,,,,,,,,29.0
974,975,8/17/1943,MTO,USA,B25,,,,,ITALY,CASTROVILLARI,39.8,16.2,85.0,,,,2.0,,,,,,,,,,2.0
978,979,8/17/1943,MTO,USA,B25,,,,,ITALY,PALERMITI,38.75,16.45,73.0,,,,15.0,,,,,,,,,,15.0
997,998,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SCALEA,39.85,15.78,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
1004,1005,7/29/1944,PTO,USA,P39,,,,,NEW GUINEA,KAROEANI BAY,-2.25,134.1666667,,,100 LB GP (GP-M30),,,,,,,,,,,,
1051,1052,7/30/1944,PTO,USA,B25,,,,,NEW GUINEA,CAPE OPMARAI,-0.41666666700000005,132.25,,2.0,1000 LB GP (GP-M44/M65),,1.0,,,,,,,,,,1.0
1059,1060,7/30/1944,ETO,USA,B26,,,,,FRANCE,LES LOGES,48.71,0.91,115.0,,,,,,,,,,,,38.0,,38.0
1075,1076,7/30/1944,ETO,,B26,,,,,FRANCE,ST MARTIN DES BIEN,49.02,0.4,127.0,,,,32.0,,,,,,,,,,32.0
1131,1132,2/16/1945,MTO,USA,B24,,,,,ITALY,ALBONA,45.07,14.1,,,,,,,,,,,,,2.0,,2.0
1201,1202,2/27/1944,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,MUNDUA ISLAND,-4.666666667,149.33333330000002,60.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1203,1204,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,NICASTRO,38.97,16.3,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
1226,1227,8/18/1943,MTO,USA,B26,,,,,ITALY,STALETTI,38.77,16.55,,,,,3.0,,,,,,,,,,3.0
1236,1237,8/19/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CATANZARO,38.9,16.62,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
1309,1310,7/30/1944,ETO,,B26,,,,,FRANCE,ST PIERRE DU FRESNE,49.03,0.77,120.0,,,,,,,,,,,,78.0,,78.0
1326,1327,7/30/1944,ETO,,B26,,,,,FRANCE,CAUMONT,49.08,0.82,,,,,2.0,,,,,,,,,,2.0
1364,1365,7/30/1944,MTO,USA,B26,,,,,ITALY,BISTAGNO,44.63,8.45,104.0,,,,30.0,,,,,,,,,,30.0
1384,1385,7/30/1944,PTO,USA,P40,,,,,FRENCH INDO CHINA,HUNG YEN,20.6,106.16666670000001,10.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
1402,1403,2/17/1945,CBI,USA,P47,,,,,BURMA,NAKYEH,22.93333333,97.46666667,15.0,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
1420,1421,2/17/1945,CBI,USA,P47,,,,,BURMA,HPAYE,22.81666667,97.71666667,20.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
1432,1433,2/17/1945,PTO,USA,B24,,,,,,UMAN ISLAND,7.3,151.8833333,212.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1443,1444,2/17/1945,CBI,USA,P38,,,,,BURMA,HAIPU,22.58333333,97.0,,0.0,325 LB DC (DB-MK 17/47),,,,,,,,,,,,
1549,1550,8/19/1943,CBI,USA,P40,,,,,BURMA,RANGE,26.58333333,96.0,8.0,,,,,,,,,0.0,20 LB FRAG,,,,
1559,1560,2/17/1943,PTO,USA,B24,,,,,CAROLINE ISLANDS,1 45 N 149 4,1.75,149.66666669999998,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
1729,1730,2/17/1945,ETO,,B26,,,,,GERMANY,REINSFELD,49.67,6.88,,,,,2.0,,,,,,,,,,2.0
1777,1778,2/17/1945,CBI,USA,B25,,,,,BURMA,TABE,21.86666667,95.86666667,48.0,,,,,,100 LB INCENDIARY,,8.0,,,,,,8.0
1784,1785,2/17/1945,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,TAWAU,-4.7,153.05,100.0,,,,,,,,,0.0,120 LB FRAG (6X20 CLUSTERS),,,,
1791,1792,2/17/1945,PTO,USA,B24,,,,,VOLCANO AND BONIN ISLANDS,SURIBACHIYAMA,24.75,141.2833333,49.0,,,,,,,,,215.3846154,260 LB FRAG,,28.0,,28.0
1833,1834,8/21/1943,MTO,,B26,,,,,ITALY,VILLA DI TIRANO,46.2,10.13,90.0,,,,16.0,,,,,,,,,,16.0
1834,1835,8/21/1943,CBI,USA,P40,,,,,BURMA,MASHIDARU,26.41666667,96.58333333,6.0,,,,,,,,,0.0,20 LB FRAG,,,,
1838,1839,8/22/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SALERNO,40.67,14.73,,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0
1888,1889,8/23/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,EBOLI,40.6,15.07,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2029,2030,2/18/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,BANIU HARBOR,-5.5,154.9,,16.0,1000 LB GP (GP-M44/M65),16000,8.0,,,,0.0,,,,0.0,16000.0,8.0
2030,2031,2/18/1945,PTO,USA,B29,,,,,JAPAN,SHINKAWA,34.9,137.0,185.0,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2032,2033,2/18/1945,PTO,USA,B29,,,,,JAPAN,ARAI,34.7,137.56666669999998,185.0,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2060,2061,2/18/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,MAKO HARBOR,23.53333333,119.56666670000001,1.0,4.0,1000 LB GP (GP-M44/M65),,2.0,,,,,,,,,,2.0
