,Mission_ID,Mission_Date,Theater_of_Operations,Country,Aircraft_Series,Takeoff_Base,Takeoff_Location,Takeoff_Latitude,Takeoff_Longitude,Target_Country,Target_City,Target_Latitude,Target_Longitude,Altitude,High Explosives,High Explosives Type,High_Explosives_Weight_LBS,High_Explosives_Weight_Tons,Incendiary Devices,Incendiary Devices Type,Incendiary_Devices_Weight_LBS,Incendiary_Devices_Weight_Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation_Devices_Weight_LBS,Fragmentation_Devices_Weight_Tons,Total_Weight_LBS,Total_Weight_Tons
95,96,8/16/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,VILLA SAN GIOVANNI,38.2,15.65,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
645,646,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LA SPEZIA,44.1,9.83,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
646,647,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LAMEZIA,38.92,16.25,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
997,998,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SCALEA,39.85,15.78,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
1203,1204,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,NICASTRO,38.97,16.3,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
1236,1237,8/19/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CATANZARO,38.9,16.62,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
1838,1839,8/22/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SALERNO,40.67,14.73,,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0
1888,1889,8/23/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,EBOLI,40.6,15.07,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
2029,2030,2/18/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,BANIU HARBOR,-5.5,154.9,,16.0,1000 LB GP (GP-M44/M65),16000,8.0,,,,0.0,,,,0.0,16000.0,8.0
2139,2140,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CASTROVILLARI,39.8,16.2,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
2140,2141,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SIBARI,39.78,16.47,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
2144,2145,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SAPRI,40.07,15.63,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
