Target Latitude,Target Longitude,Hello
-37,150,Unique
-35,153,Unique
-34,151,Unique
-33,152,Unique
-32,154,Unique
-30,154,Unique
-22,167,Unique
-21,164,Unique
-20,153,Unique
-18,150,Unique
-16,180,Unique
-14,167,Unique
-13,165,Unique
-12,129,Unique
-11,142,Unique
-11,151,Unique
-11,152,Unique
-11,153,Unique
-11,154,Unique
-10,120,Unique
-10,121,Unique
-10,124,Unique
-10,125,Unique
-10,130,Unique
-10,141,Unique
-10,148,Unique
-10,150,Unique
-10,151,Unique
-10,152,Unique
-10,160,Unique
-10,161,Unique
-9,115,Unique
-9,116,Unique
-9,118,Unique
-9,121,Unique
-9,122,Unique
-9,124,Unique
-9,125,Unique
-9,126,Unique
-9,127,Unique
-9,131,Unique
-9,141,Unique
-9,143,Unique
-9,147,Unique
-9,148,Unique
-9,149,Unique
-9,150,Unique
-9,151,Unique
-9,153,Unique
-9,157,Unique
-9,158,Unique
-9,159,Unique
-9,160,Unique
-8,112,Unique
-8,113,Unique
-8,115,Unique
-8,119,Unique
-8,120,Unique
-8,125,Unique
-8,126,Unique
-8,127,Unique
-8,129,Unique
-8,130,Unique
-8,131,Unique
-8,138,Unique
-8,139,Unique
-8,143,Unique
-8,146,Unique
-8,147,Unique
-8,148,Unique
-8,149,Unique
-8,152,Unique
-8,156,Unique
-8,157,Unique
-8,158,Unique
-8,159,Unique
-7,113,Unique
-7,115,Unique
-7,124,Unique
-7,132,Unique
-7,138,Unique
-7,140,Unique
-7,147,Unique
-7,148,Unique
-7,149,Unique
-7,150,Unique
-7,151,Unique
-7,154,Unique
-7,155,Unique
-7,156,Unique
-7,157,Unique
-7,158,Unique
-6,106,Unique
-6,107,Unique
-6,109,Unique
-6,120,Unique
-6,133,Unique
-6,134,Unique
-6,135,Unique
-6,136,Unique
-6,146,Unique
-6,147,Unique
-6,148,Unique
-6,149,Unique
-6,150,Unique
-6,151,Unique
-6,152,Unique
-6,153,Unique
-6,155,Unique
-6,156,Unique
-6,157,Unique
-5,109,Unique
-5,119,Unique
-5,120,Unique
-5,122,Unique
-5,123,Unique
-5,124,Unique
-5,130,Unique
-5,132,Unique
-5,136,Unique
-5,137,Unique
-5,140,Unique
-5,143,Unique
-5,145,Unique
-5,146,Unique
-5,147,Unique
-5,148,Unique
-5,149,Unique
-5,150,Unique
-5,151,Unique
-5,152,Unique
-5,153,Unique
-5,155,Unique
-5,159,Unique
-4,115,Unique
-4,116,Unique
-4,119,Unique
-4,120,Unique
-4,121,Unique
-4,122,Unique
-4,123,Unique
-4,127,Unique
-4,128,Unique
-4,129,Unique
-4,131,Unique
-4,132,Unique
-4,134,Unique
-4,135,Unique
-4,136,Unique
-4,141,Unique
-4,143,Unique
-4,144,Unique
-4,145,Unique
-4,146,Unique
-4,149,Unique
-4,150,Unique
-4,151,Unique
-4,152,Unique
-4,153,Unique
-4,154,Unique
-3,104,Unique
-3,105,Unique
-3,108,Unique
-3,112,Unique
-3,115,Unique
-3,116,Unique
-3,118,Unique
-3,119,Unique
-3,120,Unique
-3,121,Unique
-3,122,Unique
-3,126,Unique
-3,127,Unique
-3,128,Unique
-3,129,Unique
-3,130,Unique
-3,131,Unique
-3,132,Unique
-3,133,Unique
-3,134,Unique
-3,135,Unique
-3,136,Unique
