,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
95,96,8/16/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,VILLA SAN GIOVANNI,38.2,15.65,,64,500 LB GP (GP-M43/M64),,16,,,,,,,,,,16
645,646,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LA SPEZIA,44.1,9.83,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
646,647,8/17/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LAMEZIA,38.92,16.25,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
997,998,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SCALEA,39.85,15.78,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
1203,1204,8/18/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,NICASTRO,38.97,16.3,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
1236,1237,8/19/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CATANZARO,38.9,16.62,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
1838,1839,8/22/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SALERNO,40.67,14.73,,44,500 LB GP (GP-M43/M64),,11,,,,,,,,,,11
1888,1889,8/23/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,EBOLI,40.6,15.07,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
2029,2030,2/18/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,SOLOMON ISLANDS,BANIU HARBOR,-5.5,154.9,,16,1000 LB GP (GP-M44/M65),16000,8,,,,0,,,,0,16000,8
2139,2140,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CASTROVILLARI,39.8,16.2,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
2140,2141,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SIBARI,39.78,16.47,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
2144,2145,8/24/1943,MTO,USA,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SAPRI,40.07,15.63,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
2773,2774,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,PAOLA,39.35,16.05,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
2774,2775,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,SIBARI,39.78,16.47,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
2775,2776,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASERTA,41.07,14.33,,16,500 LB GP (GP-M43/M64),,4,,,,,,,,,,4
3201,3202,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,AVERSA,40.97,16.18,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
3205,3206,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASTROVILLARI,39.8,16.2,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
3283,3284,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,ANGITOLA RIVER,38.75,16.17,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
3285,3286,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,TORRE ANNUNZIATA,40.77,14.43,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
